AvgCost;98995.8;Risk;2944.12
99088.7;;;;2048.86
99158.5;;;;2050.96
98257.2;;;;2072.78
101571;;;;2359.52
93896.4;;;;2987.87
100458;;;;2156.45
106278;;;;3861.57
110341;;;;5698.91
99237.6;;;;2054.12
95874.2;;;;2400.85
99058.2;;;;2048.25
98784.6;;;;2048.36
106510;;;;3955.2
103121;;;;2766.24
99035.8;;;;2048.03
103815;;;;2981.36
92094.6;;;;3700.17
96601;;;;2275.99
106110;;;;3796.11
94625.6;;;;2733.3
98619.5;;;;2052.13
97139.7;;;;2193.94
104510;;;;3215.44
96844.8;;;;2236.98
107990;;;;4600.02
102197;;;;2514.23
102967;;;;2721.99
101552;;;;2355.18
95798.2;;;;2416.34
100027;;;;2102.24
100755;;;;2201.96
87748.4;;;;5639.12
98290.5;;;;2070.45
94551.7;;;;2757.68
100039;;;;2103.36
95052.8;;;;2601.01
100322;;;;2137.49
101155;;;;2272.32
103452;;;;2865.59
87950.8;;;;5544.03
95526.8;;;;2478.14
99386.3;;;;2061.55
103016;;;;2735.69
95507.9;;;;2482.67
112497;;;;6750.67
90767.1;;;;4271.01
95856.3;;;;2404.25
95447.6;;;;2497.75
89351;;;;4899.93
94958.6;;;;2628.33
100048;;;;2104.32
93306.5;;;;3210.09
87387.3;;;;5812.46
96004.3;;;;2377.42
98666.1;;;;2050.73
101958;;;;2452.24
101988;;;;2459.83
93985.7;;;;2955.73
110835;;;;5936.24
100299;;;;2134.54
104035;;;;3053.82
100663;;;;2187.25
100004;;;;2100.34
86565.5;;;;6215.17
89933.8;;;;4637.66
98047.2;;;;2089.58
100032;;;;2102.63
95109.8;;;;2585.57
100916;;;;2229.28
105635;;;;3615.27
92539.5;;;;3513.33
97020.5;;;;2210.62
106924;;;;4129.87
103499;;;;2880.09
101514;;;;2346.62
105558;;;;3587.05
97834.3;;;;2110.21
97982;;;;2095.45
92829.7;;;;3396.06
95735.7;;;;2430.09
94830.7;;;;2667.65
98548;;;;2055
95058.7;;;;2599.36
101190;;;;2278.95
92659.7;;;;3464.07
101225;;;;2285.98
95845.3;;;;2406.44
97494.4;;;;2147.82
107897;;;;4558.04
93701.3;;;;3060.07
105077;;;;3413.73
94926.1;;;;2638.09
99828.7;;;;2088.1
97516.2;;;;2145.21
106841;;;;4094.3
98818;;;;2048.03
94547.3;;;;2759.17
108572;;;;4867.8
98548.8;;;;2054.96
106408;;;;3913.33
AvgCost;105029;Risk;1932.08
105952;;;;1415.21
105102;;;;1337.36
103943;;;;1393.18
106853;;;;1584.51
101717;;;;1957.11
106737;;;;1560.22
109600;;;;2474.99
112013;;;;3530.14
106324;;;;1477.57
103717;;;;1422.58
104400;;;;1354.24
105179;;;;1339.13
109532;;;;2447.74
107707;;;;1812.33
104363;;;;1356.5
107541;;;;1762.26
99991.4;;;;2631.58
103586;;;;1445.13
109379;;;;2387.9
101980;;;;1870.43
104849;;;;1337.72
103802;;;;1410.06
108001;;;;1906.37
103682;;;;1428.32
110752;;;;2958.99
106900;;;;1594.97
106923;;;;1600.18
106936;;;;1603.31
104131;;;;1373.03
105696;;;;1382.43
105850;;;;1400.89
98435.2;;;;3316.66
105177;;;;1339.05
101311;;;;2100.14
105307;;;;1347.94
102955;;;;1581.26
105740;;;;1386.89
105356;;;;1351.84
107386;;;;1719.08
98469;;;;3301.41
102915;;;;1592.18
106104;;;;1439.04
107470;;;;1741.85
102103;;;;1831.16
114788;;;;4879.29
100155;;;;2561.17
102191;;;;1803.73
103061;;;;1554.66
97776.9;;;;3627.98
103098;;;;1545.81
104996;;;;1336.31
101665;;;;1974.75
98123.8;;;;3461.45
102965;;;;1578.74
105190;;;;1339.71
107478;;;;1744.09
106227;;;;1459.95
101179;;;;2148.96
112203;;;;3619.22
105185;;;;1339.46
108715;;;;2144.04
105750;;;;1387.99
105159;;;;1338.5
97590.8;;;;3719.19
98282.7;;;;3386.77
103787;;;;1412.09
104991;;;;1336.31
103276;;;;1506.87
106302;;;;1473.5
109250;;;;2338.96
100284;;;;2507.03
102921;;;;1590.43
111661;;;;3368.06
108542;;;;2084.92
107695;;;;1808.48
109016;;;;2252.35
103800;;;;1410.33
104083;;;;1377.74
100657;;;;2354.11
103101;;;;1545.17
101460;;;;2046.62
104690;;;;1341.81
100982;;;;2223.91
107051;;;;1632.13
100999;;;;2217.49
105996;;;;1421.71
102357;;;;1753.87
104161;;;;1370.64
110175;;;;2710.49
103256;;;;1510.98
110353;;;;2785.39
103560;;;;1449.98
105757;;;;1388.72
104486;;;;1349.98
110531;;;;2861.7
104780;;;;1339.1
103635;;;;1436.15
112860;;;;3934.93
104123;;;;1373.71
108691;;;;2135.51
AvgCost;101427;Risk;2900.64
102450;;;;2063.16
100245;;;;2087.8
101696;;;;2017.9
104161;;;;2344.5
94402.6;;;;3693.88
104068;;;;2324.14
105588;;;;2747.77
110410;;;;4582.56
101869;;;;2019.51
98957;;;;2274.39
103595;;;;2233.67
103748;;;;2261.24
109588;;;;4227.1
104967;;;;2552.02
100975;;;;2030.81
104392;;;;2397.6
95372.5;;;;3313.19
99099.5;;;;2250.23
110458;;;;4604.24
96313.4;;;;2971.75
101331;;;;2021.55
98812.7;;;;2302.06
104865;;;;2522.92
100973;;;;2030.94
109360;;;;4133.75
103316;;;;2186.32
104073;;;;2325.2
104604;;;;2452.52
102067;;;;2029.84
100838;;;;2039.04
105033;;;;2571.74
94713.1;;;;3569.68
104405;;;;2400.85
96679.4;;;;2855.86
103311;;;;2185.45
100365;;;;2074.56
102719;;;;2097.85
102366;;;;2054.66
106466;;;;3039.29
92928.9;;;;4326.86
97890.3;;;;2517.01
103858;;;;2282.18
106276;;;;2974.64
96247.2;;;;2993.61
116857;;;;7714.79
93017;;;;4288.08
97473.2;;;;2625.98
97525.8;;;;2611.78
91133.8;;;;5164.94
98233.9;;;;2431.89
100347;;;;2076.37
96167.8;;;;3020.59
90852.2;;;;5300.1
98155.6;;;;2450.67
98837.7;;;;2297.06
102474;;;;2066.1
102841;;;;2115.03
96901.2;;;;2789.34
109727;;;;4285.33
98662.1;;;;2333.68
107065;;;;3254.83
101117;;;;2025.83
102032;;;;2027.57
89599.2;;;;5914.07
92377.1;;;;4580.58
101048;;;;2027.91
100370;;;;2074.08
99461.8;;;;2195.88
102275;;;;2046.45
107003;;;;3231.74
94260.9;;;;3753.2
98976.3;;;;2270.93
111646;;;;5161.66
104926;;;;2539.86
104414;;;;2402.93
109032;;;;4002.28
98633.2;;;;2340.05
99074.7;;;;2254.2
94384.2;;;;3701.41
100267;;;;2085.16
95305.9;;;;3338.51
101880;;;;2019.98
96019.3;;;;3073.87
105195;;;;2621.87
92919.3;;;;4331.18
101852;;;;2019.02
96149;;;;3027.18
100092;;;;2107.64
109029;;;;4001.05
101804;;;;2018.05
110856;;;;4787.03
97220.9;;;;2696.61
101789;;;;2017.9
100601;;;;2055.57
111345;;;;5016.91
102052;;;;2028.76
96555.4;;;;2894.32
110075;;;;4434.95
102439;;;;2061.99
106536;;;;3063.9
